0,part1_emit_times_ps,,2264,part1_receive_times_ps,,,2264
1250,,,3405,,,,2155
2500,,,3509,,,,1009
3750,,,4754,,,,1004
5000,,,7260,,,,2260
6250,,,7544,,,,1294
7500,,,8506,,,,1006
8750,,,8710,,,,-40
10000,,,9761,,,,-239
11250,,,11010,,,,-240
12500,,,12260,,,,-240
13750,,,13404,,,,-346
15000,,,13512,,,,-1488
16250,,,14760,,,,-1490
17500,,,17261,,,,-239
18750,,,18507,,,,-243
20000,,,19760,,,,-240
21250,,,21008,,,,-242
22500,,,22258,,,,-242
23750,,,23966,,,,216
25000,,,24814,,,,-186
26250,,,32260,,,,6010
27500,,,33504,,,,6004
28750,,,36009,,,,7259
30000,,,37260,,,,7260
31250,,,39764,,,,8514
32500,,,43508,,,,11008
33750,,,46016,,,,12266
35000,,,51006,,,,16006
36250,,,52265,,,,16015
37500,,,53651,,,,16151
38750,,,58511,,,,19761
40000,,,59766,,,,19766
41250,,,60628,,,,19378
42500,,,62261,,,,19761
43750,,,63342,,,,19592
45000,,,63513,,,,18513
46250,,,64758,,,,18508
47500,,,64775,,,,17275
48750,,,68532,,,,19782
50000,,,71010,,,,21010
51250,,,71324,,,,20074
52500,,,74762,,,,22262
53750,,,76014,,,,22264
55000,,,76256,,,,21256
56250,,,77258,,,,21008
57500,,,78508,,,,21008
58750,,,81009,,,,22259
60000,,,82256,,,,22256
61250,,,88507,,,,27257
62500,,,91010,,,,28510
63750,,,92263,,,,28513
65000,,,96016,,,,31016
66250,,,99761,,,,33511
67500,,,101010,,,,33510
68750,,,103510,,,,34760
70000,,,107259,,,,37259
71250,,,108512,,,,37262
72500,,,109759,,,,37259
73750,,,111012,,,,37262
75000,,,111634,,,,36634
76250,,,113504,,,,37254
77500,,,114761,,,,37261
78750,,,116006,,,,37256
80000,,,118509,,,,38509
81250,,,119831,,,,38581
82500,,,122260,,,,39760
83750,,,123510,,,,39760
85000,,,127262,,,,42262
86250,,,129760,,,,43510
87500,,,131010,,,,43510
88750,,,131046,,,,42296
90000,,,132259,,,,42259
91250,,,133503,,,,42253
92500,,,136009,,,,43509
93750,,,137490,,,,43740
95000,,,138511,,,,43511
96250,,,139768,,,,43518
97500,,,140429,,,,42929
98750,,,141009,,,,42259
100000,,,146010,,,,46010
101250,,,148517,,,,47267
102500,,,150040,,,,47540
103750,,,151005,,,,47255
105000,,,154741,,,,49741
106250,,,154759,,,,48509
107500,,,157259,,,,49759
108750,,,161179,,,,52429
110000,,,163505,,,,53505
111250,,,164758,,,,53508
112500,,,167259,,,,54759
113750,,,168505,,,,54755
115000,,,169762,,,,54762
116250,,,171013,,,,54763
117500,,,175473,,,,57973
118750,,,176010,,,,57260
120000,,,178043,,,,58043
121250,,,179757,,,,58507
122500,,,180302,,,,57802
123750,,,181847,,,,58097
125000,,,182141,,,,57141
126250,,,184759,,,,58509
127500,,,189759,,,,62259
128750,,,191011,,,,62261
130000,,,192257,,,,62257
131250,,,197258,,,,66008
132500,,,198510,,,,66010
133750,,,199757,,,,66007
135000,,,201012,,,,66012
136250,,,202261,,,,66011
137500,,,203986,,,,66486
138750,,,206012,,,,67262
140000,,,209758,,,,69758
141250,,,211455,,,,70205
142500,,,213514,,,,71014
143750,,,214761,,,,71011
145000,,,218507,,,,73507
146250,,,219760,,,,73510
147500,,,221010,,,,73510
148750,,,224766,,,,76016
150000,,,225742,,,,75742
151250,,,228509,,,,77259
152500,,,232260,,,,79760
153750,,,234309,,,,80559
155000,,,234760,,,,79760
156250,,,236012,,,,79762
157500,,,237266,,,,79766
158750,,,238506,,,,79756
160000,,,239765,,,,79765
161250,,,241766,,,,80516
162500,,,243512,,,,81012
163750,,,244759,,,,81009
165000,,,246014,,,,81014
166250,,,247262,,,,81012
167500,,,248510,,,,81010
168750,,,249867,,,,81117
170000,,,252253,,,,82253
171250,,,253512,,,,82262
172500,,,257267,,,,84767
173750,,,258037,,,,84287
